,Ano,#,Especialidade,Local,Numero_Ordem
55,2016,56.0,Anestesiologia,"Centro Hospitalar do Porto, E.P.E.",56.0
56,2016,57.0,Oftalmologia,"Centro Hospitalar de São João, E.P.E.",57.0
57,2016,58.0,Cardiologia,"Centro Hospitalar e Universitário de Coimbra, E.P.E.",58.0
58,2016,59.0,Gastroenterologia,Hospital de Braga,59.0
59,2016,60.0,Oftalmologia,"Centro Hospitalar do Porto, E.P.E.",60.0
60,2016,61.0,Radiologia,"Unidade Local de Saúde de Matosinhos, E.P.E.",61.0
61,2016,62.0,Neurologia,Hospital de Braga,62.0
62,2016,63.0,Oftalmologia,"Centro Hospitalar de São João, E.P.E.",63.0
63,2016,64.0,Cardiologia,"Centro Hospitalar do Alto Ave, E.P.E.",64.0
64,2016,65.0,Gastroenterologia,"Centro Hospitalar de Tondela - Viseu, E.P.E.",65.0
65,2016,66.0,Otorrinolaringologia,"Centro Hospitalar do Porto, E.P.E.",66.0
66,2016,67.0,Oftalmologia,"Unidade Local de Saúde de Matosinhos, E.P.E.",67.0
67,2016,68.0,Psiquiatria Infância e Adolescência,"Centro Hospitalar do Porto, E.P.E.",68.0
68,2016,69.0,Medicina Interna,Hospital da Luz,69.0
69,2016,70.0,Ortopedia,HPP Hospital de Cascais,70.0
70,2016,71.0,Cardiologia,"Centro Hospitalar e Universitário de Coimbra, E.P.E.",71.0
71,2016,72.0,Oftalmologia,"Centro Hospitalar de Lisboa Norte, E.P.E.",72.0
72,2016,73.0,Otorrinolaringologia,"Centro Hospitalar de Lisboa Ocidental, E.P.E.",73.0
73,2016,74.0,Nefrologia,"Hospital Divino Espírito Santo de Ponta Delgada, E.P.E.",74.0
74,2016,75.0,Otorrinolaringologia,"Centro Hospitalar do Porto, E.P.E.",75.0
75,2016,76.0,Medicina Geral Familiar,ACES Grande Porto V - Porto Ocidental - USF Serpa Pinto,76.0
76,2016,77.0,Cirurgia Plástica Reconstrutiva Estética,"Centro Hospitalar Lisboa Central, E.P.E.",77.0
77,2016,78.0,Ginecologia/Obstetricia,"Centro Hospitalar de Lisboa Norte, E.P.E.",78.0
78,2016,79.0,Otorrinolaringologia,"Centro Hospitalar de Lisboa Ocidental, E.P.E.",79.0
79,2016,80.0,Ginecologia/Obstetricia,"Unidade Local de Saúde de Matosinhos, E.P.E.",80.0
80,2016,81.0,Cirurgia Plástica Reconstrutiva Estética,"Centro Hospitalar de Lisboa Norte, E.P.E.",81.0
81,2016,82.0,Neurocirurgia,Hospital de Braga,82.0
82,2016,83.0,Oftalmologia,Hospital de Braga,83.0
83,2016,84.0,Oftalmologia,"Hospital Garcia de Orta, E.P.E.",84.0
84,2016,85.0,Cardiologia,"Centro Hospitalar de Trás-os-Montes e Alto Douro, E.P.E.",85.0
85,2016,86.0,Medicina Geral Familiar,ACES Alto Ave - Guimarães/Vizela/Terras de Basto - USF S. Nicolau,86.0
86,2016,87.0,Oftalmologia,"Centro Hospitalar de Leiria, E.P.E.",87.0
87,2016,88.0,Psiquiatria,"Hospital de Magalhães Lemos, E.P.E.",88.0
88,2016,89.0,Neurologia,"Centro Hospitalar de São João, E.P.E.",89.0
89,2016,90.0,Radiologia,"Unidade Local de Saúde de Matosinhos, E.P.E.",90.0
90,2016,91.0,Cirurgia Plástica Reconstrutiva Estética,"Centro Hospitalar de Lisboa Ocidental, E.P.E.",91.0
91,2016,92.0,Anestesiologia,Hospital Beatriz Ângelo,92.0
92,2016,93.0,Cardiologia,"Centro Hospitalar de Leiria, E.P.E.",93.0
93,2016,94.0,Cardiologia,"Centro Hospitalar e Universitário de Coimbra, E.P.E.",94.0
94,2016,95.0,Oftalmologia,"Hospital Prof. Dr. Fernando Fonseca, E.P.E.",95.0
95,2016,96.0,Cardiologia,"Centro Hospitalar de Setúbal, E.P.E.",96.0
96,2016,97.0,Cirurgia Pediátrica,"Centro Hospitalar e Universitário de Coimbra, E.P.E.",97.0
97,2016,98.0,Angiologia e Cirurgia Vascular,"Centro Hospitalar de Lisboa Norte, E.P.E.",98.0
98,2016,99.0,Cirurgia Plástica Reconstrutiva Estética,"Centro Hospitalar de Lisboa Ocidental, E.P.E.",99.0
99,2016,100.0,Psiquiatria,"Hospital de Magalhães Lemos, E.P.E.",100.0
100,2016,101.0,Cirurgia Plástica Reconstrutiva Estética,Hospital da Prelada,101.0
101,2016,102.0,Psiquiatria,"Centro Hospitalar e Universitário de Coimbra, E.P.E.",102.0
102,2016,103.0,Gastroenterologia,"Centro Hospitalar de São João, E.P.E.",103.0
103,2016,104.0,Anestesiologia,"Centro Hospitalar e Universitário de Coimbra, E.P.E.",104.0
104,2016,105.0,Oftalmologia,"Centro Hospitalar de Entre-Douro e Vouga, E.P.E.",105.0
105,2016,106.0,Cirurgia Plástica Reconstrutiva Estética,"Centro Hospitalar de São João, E.P.E.",106.0
106,2016,107.0,Anestesiologia,"Centro Hospitalar do Porto, E.P.E.",107.0
107,2016,108.0,Psiquiatria Infância e Adolescência,"Centro Hospitalar do Porto, E.P.E.",108.0
108,2016,109.0,Endocrinologia/Nutrição,"Centro Hospitalar de São João, E.P.E.",109.0
109,2016,110.0,Anestesiologia,"Centro Hospitalar Vila Nova de Gaia/Espinho, E.P.E.",110.0
110,2016,111.0,Urologia,Hospital de Braga,111.0
111,2016,112.0,Ginecologia/Obstetricia,"Centro Hospitalar Lisboa Central, E.P.E.",112.0
112,2016,113.0,Neurorradiologia,"Centro Hospitalar do Porto, E.P.E.",113.0
113,2016,114.0,Medicina Física Reabilitação,Hospital Misericórdia Arouca,114.0
114,2016,115.0,Urologia,"Centro Hospitalar de São João, E.P.E.",115.0
115,2016,116.0,Anestesiologia,"Hospital Prof. Dr. Fernando Fonseca, E.P.E.",116.0
116,2016,117.0,Ortopedia,Hospital Beatriz Ângelo,117.0
117,2016,118.0,Doenças Infecciosas,"Centro Hospitalar de Lisboa Ocidental, E.P.E.",118.0
118,2016,119.0,Ginecologia/Obstetricia,"Centro Hospitalar do Porto, E.P.E.",119.0
119,2016,120.0,Gastroenterologia,"Instituto Português Oncologia do Porto Francisco Gentil, E.P.E. ",120.0
120,2016,121.0,Urologia,"Centro Hospitalar e Universitário de Coimbra, E.P.E.",121.0
121,2016,122.0,Gastroenterologia,"Hospital Espírito Santo de Évora, E.P.E.",122.0
122,2016,123.0,Medicina Interna,"Centro Hospitalar de São João, E.P.E.",123.0
123,2016,124.0,Medicina Geral Familiar,ACES Cávado III - Barcelos/Esposende - USF Esposende Norte,124.0
124,2016,125.0,Cardiologia,"Centro Hospitalar do Baixo Vouga, E.P.E.",125.0
125,2016,126.0,Cardiologia,"Centro Hospitalar e Universitário de Coimbra, E.P.E.",126.0
126,2016,127.0,Gastroenterologia,"Centro Hospitalar de Lisboa Norte, E.P.E.",127.0
127,2016,128.0,Gastroenterologia,"Centro Hospitalar do Alto Ave, E.P.E.",128.0
128,2016,129.0,Oftalmologia,Instituto de Oftalmologia Dr. Gama Pinto,129.0
129,2016,130.0,Oftalmologia,"Centro Hospitalar de Setúbal, E.P.E.",130.0
130,2016,131.0,Cirurgia Plástica Reconstrutiva Estética,"Centro Hospitalar de São João, E.P.E.",131.0
131,2016,132.0,Ginecologia/Obstetricia,"Hospital Prof. Dr. Fernando Fonseca, E.P.E.",132.0
132,2016,133.0,Imunoalergologia,"Centro Hospitalar de Lisboa Norte, E.P.E.",133.0
133,2016,134.0,Psiquiatria,"Hospital Prof. Dr. Fernando Fonseca, E.P.E.",134.0
134,2016,135.0,Reumatologia,"Centro Hospitalar de Lisboa Norte, E.P.E.",135.0
135,2016,136.0,Neurologia,"Hospital Prof. Dr. Fernando Fonseca, E.P.E.",136.0
136,2016,137.0,Oftalmologia,"Centro Hospitalar de Lisboa Ocidental, E.P.E.",137.0
137,2016,138.0,Anestesiologia,"Centro Hospitalar do Porto, E.P.E.",138.0
138,2016,139.0,Otorrinolaringologia,"Centro Hospitalar Vila Nova de Gaia/Espinho, E.P.E.",139.0
139,2016,140.0,Urologia,"Centro Hospitalar Lisboa Central, E.P.E.",140.0
140,2016,141.0,Medicina Geral Familiar,ACES Lisboa Ocidental e Oeiras - USF Descobertas,141.0
141,2016,142.0,Endocrinologia/Nutrição,Hospital de Braga,142.0
142,2016,143.0,Patologia Clínica,"Centro Hospitalar de Lisboa Ocidental, E.P.E.",143.0
143,2016,144.0,Ginecologia/Obstetricia,"Centro Hospitalar Vila Nova de Gaia/Espinho, E.P.E.",144.0
144,2016,145.0,Ortopedia,"Centro Hospitalar do Porto, E.P.E.",145.0
145,2016,146.0,Medicina Interna,"Hospital Prof. Dr. Fernando Fonseca, E.P.E.",146.0
146,2016,147.0,Gastroenterologia,"Centro Hospitalar de Setúbal, E.P.E.",147.0
147,2016,148.0,Gastroenterologia,"Centro Hospitalar do Porto, E.P.E.",148.0
148,2016,149.0,Pediatria,Hospital Beatriz Ângelo,149.0
149,2016,150.0,Cardiologia,"Centro Hospitalar de Tondela - Viseu, E.P.E.",150.0
150,2016,151.0,Ortopedia,"Centro Hospitalar Vila Nova de Gaia/Espinho, E.P.E.",151.0
151,2016,152.0,Endocrinologia/Nutrição,"Centro Hospitalar de São João, E.P.E.",152.0
152,2016,153.0,Ortopedia,Hospital de Braga,153.0
153,2016,154.0,Medicina Geral Familiar,ACES Dão Lafões - USF Viseu cidade,154.0
154,2016,155.0,Urologia,"Instituto Português Oncologia do Porto Francisco Gentil, E.P.E. ",155.0
155,2016,156.0,Urologia,"Unidade Local de Saúde de Matosinhos, E.P.E.",156.0
156,2016,157.0,Urologia,"Centro Hospitalar do Médio Tejo, E.P.E.",157.0
157,2016,158.0,Anestesiologia,"Centro Hospitalar do Porto, E.P.E.",158.0
158,2016,159.0,Anestesiologia,"Centro Hospitalar do Porto, E.P.E.",159.0
159,2016,160.0,Anestesiologia,"Centro Hospitalar e Universitário de Coimbra, E.P.E.",160.0
160,2016,161.0,Pediatria,"Centro Hospitalar de Lisboa Norte, E.P.E.",161.0
161,2016,162.0,Ginecologia/Obstetricia,"Centro Hospitalar de Lisboa Norte, E.P.E.",162.0
162,2016,163.0,Urologia,"Centro Hospitalar de Setúbal, E.P.E.",163.0
163,2016,164.0,Cardiologia,Hospital de Vila Franca de Xira,164.0
164,2016,165.0,Ortopedia,Hospital de Vila Franca de Xira,165.0
165,2016,166.0,Cirurgia Geral,"Instituto Português Oncologia de Lisboa Francisco Gentil, E.P.E.",166.0
166,2016,167.0,Anestesiologia,"Centro Hospitalar do Porto, E.P.E.",167.0
167,2016,168.0,Neurologia,"Centro Hospitalar de Lisboa Ocidental, E.P.E.",168.0
168,2016,169.0,Cardiologia,"Centro Hospitalar Barreiro Montijo, E.P.E.",169.0
169,2016,170.0,Otorrinolaringologia,"Centro Hospitalar de São João, E.P.E.",170.0
170,2016,171.0,Neurologia,"Centro Hospitalar de São João, E.P.E.",171.0
171,2016,172.0,Neurologia,"Hospital Prof. Dr. Fernando Fonseca, E.P.E.",172.0
172,2016,173.0,Ortopedia,Hospital Ortopédico de Santa Ana - Parede,173.0
173,2016,174.0,Cardiologia,"Centro Hospitalar do Algarve, E.P.E.",174.0
174,2016,175.0,Otorrinolaringologia,"Centro Hospitalar Vila Nova de Gaia/Espinho, E.P.E.",175.0
175,2016,176.0,Neurologia,"Centro Hospitalar do Porto, E.P.E.",176.0
176,2016,177.0,Angiologia e Cirurgia Vascular,"Centro Hospitalar Lisboa Central, E.P.E.",177.0
177,2016,178.0,Neurologia,"Centro Hospitalar Vila Nova de Gaia/Espinho, E.P.E.",178.0
178,2016,179.0,Ortopedia,"Centro Hospitalar da Póvoa/Vila do Conde, E.P.E.",179.0
179,2016,180.0,Ortopedia,Hospital de Braga,180.0
180,2016,181.0,Radiologia,"Centro Hospitalar de São João, E.P.E.",181.0
181,2016,182.0,Cardiologia,"Hospital Distrital de Santarém, E.P.E.",182.0
182,2016,183.0,Medicina Geral Familiar,ACES Lisboa Ocidental e Oeiras - USF Descobertas,183.0
183,2016,184.0,Otorrinolaringologia,"Centro Hospitalar Lisboa Central, E.P.E.",184.0
184,2016,185.0,Ortopedia,"Unidade Local de Saúde de Matosinhos, E.P.E.",185.0
185,2016,186.0,Nefrologia,"Centro Hospitalar de Lisboa Ocidental, E.P.E.",186.0
186,2016,187.0,Ginecologia/Obstetricia,Hospital de Vila Franca de Xira,187.0
187,2016,188.0,Nefrologia,"Centro Hospitalar do Porto, E.P.E.",188.0
188,2016,189.0,Ginecologia/Obstetricia,"Hospital Garcia de Orta, E.P.E.",189.0
189,2016,190.0,Ginecologia/Obstetricia,"Centro Hospitalar do Porto, E.P.E.",190.0
190,2016,191.0,Cardiologia,"Hospital Espírito Santo de Évora, E.P.E.",191.0
191,2016,192.0,Nefrologia,"Centro Hospitalar Lisboa Central, E.P.E.",192.0
192,2016,193.0,Gastroenterologia,"Centro Hospitalar e Universitário de Coimbra, E.P.E.",193.0
193,2016,194.0,Medicina Interna,"Centro Hospitalar de São João, E.P.E.",194.0
194,2016,195.0,Ginecologia/Obstetricia,"Centro Hospitalar do Porto, E.P.E.",195.0
195,2016,196.0,Otorrinolaringologia,"Hospital Prof. Dr. Fernando Fonseca, E.P.E.",196.0
196,2016,197.0,Anestesiologia,"Centro Hospitalar Vila Nova de Gaia/Espinho, E.P.E.",197.0
197,2016,198.0,Neurologia,"Centro Hospitalar e Universitário de Coimbra, E.P.E.",198.0
198,2016,199.0,Neurologia,Hospital de Braga,199.0
199,2016,200.0,Cardiologia,"Hospital Divino Espírito Santo de Ponta Delgada, E.P.E.",200.0
200,2016,201.0,Reumatologia,"Unidade Local de Saúde do Alto Minho, E.P.E.",201.0
201,2016,202.0,,,202.0
202,2016,203.0,Angiologia e Cirurgia Vascular,"Centro Hospitalar Vila Nova de Gaia/Espinho, E.P.E.",203.0
203,2016,204.0,Radiologia,"Centro Hospitalar do Porto, E.P.E.",204.0
204,2016,205.0,Neurologia,"Centro Hospitalar de Entre-Douro e Vouga, E.P.E.",205.0
205,2016,206.0,Gastroenterologia,"Centro Hospitalar do Algarve, E.P.E.",206.0
206,2016,207.0,Nefrologia,"Centro Hospitalar de São João, E.P.E.",207.0
207,2016,208.0,Radiologia,"Centro Hospitalar de Lisboa Ocidental, E.P.E.",208.0
208,2016,209.0,Reumatologia,"Centro Hospitalar de São João, E.P.E.",209.0
209,2016,210.0,Ortopedia,"Centro Hospitalar de São João, E.P.E.",210.0
210,2016,211.0,Radiologia,"Instituto Português Oncologia do Porto Francisco Gentil, E.P.E. ",211.0
211,2016,212.0,Medicina Geral Familiar,ACES Cávado I - Braga - USF Manuel Rocha Peixoto,212.0
212,2016,213.0,Oncologia Médica,"Instituto Português Oncologia do Porto Francisco Gentil, E.P.E. ",213.0
213,2016,214.0,Medicina Geral Familiar,"ULS Matosinhos, E.P.E. - USF Caravela",214.0
214,2016,215.0,Radiologia,"Centro Hospitalar de Lisboa Ocidental, E.P.E.",215.0
215,2016,216.0,,,216.0
216,2016,217.0,Cirurgia Geral,"Centro Hospitalar Vila Nova de Gaia/Espinho, E.P.E.",217.0
217,2016,218.0,Reumatologia,"Centro Hospitalar de São João, E.P.E.",218.0
218,2016,219.0,Neurocirurgia,"Centro Hospitalar de São João, E.P.E.",219.0
219,2016,220.0,Radiologia,Hospital de Braga,220.0
220,2016,221.0,Endocrinologia/Nutrição,"Centro Hospitalar Vila Nova de Gaia/Espinho, E.P.E.",221.0
221,2016,222.0,Cardiologia,Hospital Central do Funchal,222.0
222,2016,223.0,Otorrinolaringologia,Hospital de Braga,223.0
223,2016,224.0,Ginecologia/Obstetricia,"Centro Hospitalar de Entre-Douro e Vouga, E.P.E.",224.0
224,2016,225.0,Ginecologia/Obstetricia,HPP Hospital de Cascais,225.0
225,2016,226.0,Oncologia Médica,Hospital Beatriz Ângelo,226.0
226,2016,227.0,Ginecologia/Obstetricia,"Centro Hospitalar Lisboa Central, E.P.E.",227.0
227,2016,228.0,Anestesiologia,"Instituto Português Oncologia de Lisboa Francisco Gentil, E.P.E.",228.0
228,2016,229.0,Pediatria,"Centro Hospitalar de São João, E.P.E.",229.0
229,2016,230.0,Ginecologia/Obstetricia,"Centro Hospitalar Lisboa Central, E.P.E.",230.0
230,2016,231.0,Gastroenterologia,"Centro Hospitalar de Leiria, E.P.E.",231.0
231,2016,232.0,Anestesiologia,Hospital Beatriz Ângelo,232.0
232,2016,233.0,Ginecologia/Obstetricia,"Centro Hospitalar de Tondela - Viseu, E.P.E.",233.0
233,2016,234.0,Medicina Geral Familiar,Centro de Saúde de Santo António Serra,234.0
234,2016,235.0,Neurologia,"Centro Hospitalar de Lisboa Norte, E.P.E.",235.0
235,2016,236.0,Anestesiologia,"Centro Hospitalar Vila Nova de Gaia/Espinho, E.P.E.",236.0
236,2016,237.0,Neurologia,"Centro Hospitalar de Lisboa Norte, E.P.E.",237.0
237,2016,238.0,Urologia,"Instituto Português Oncologia de Lisboa Francisco Gentil, E.P.E.",238.0
238,2016,239.0,Otorrinolaringologia,"Unidade Local de Saúde de Matosinhos, E.P.E.",239.0
239,2016,240.0,Medicina Interna,Hospital da Luz,240.0
240,2016,241.0,Anestesiologia,"Centro Hospitalar e Universitário de Coimbra, E.P.E.",241.0
241,2016,242.0,Otorrinolaringologia,"Centro Hospitalar de Tondela - Viseu, E.P.E.",242.0
242,2016,243.0,Anestesiologia,"Centro Hospitalar de São João, E.P.E.",243.0
243,2016,244.0,Otorrinolaringologia,"Centro Hospitalar de Lisboa Norte, E.P.E.",244.0
244,2016,245.0,Ginecologia/Obstetricia,"Centro Hospitalar e Universitário de Coimbra, E.P.E.",245.0
245,2016,246.0,Gastroenterologia,"Unidade Local de Saúde de Castelo Branco, E.P.E.",246.0
246,2016,247.0,Anestesiologia,"Centro Hospitalar do Porto, E.P.E.",247.0
247,2016,248.0,Urologia,"Centro Hospitalar do Algarve, E.P.E.",248.0
248,2016,249.0,Ortopedia,"Centro Hospitalar de São João, E.P.E.",249.0
249,2016,250.0,Neurologia,"Unidade Local de Saúde de Matosinhos, E.P.E.",250.0
250,2016,251.0,Anestesiologia,Hospital da Luz,251.0
251,2016,252.0,Anestesiologia,"Instituto Português Oncologia de Lisboa Francisco Gentil, E.P.E.",252.0
252,2016,253.0,Ortopedia,"Centro Hospitalar Lisboa Central, E.P.E.",253.0
253,2016,254.0,Ginecologia/Obstetricia,"Hospital Prof. Dr. Fernando Fonseca, E.P.E.",254.0
254,2016,255.0,Neurologia,Hospital da Luz,255.0
255,2016,256.0,Pediatria,"Hospital Garcia de Orta, E.P.E.",256.0
256,2016,257.0,Psiquiatria,"Hospital Prof. Dr. Fernando Fonseca, E.P.E.",257.0
257,2016,258.0,Endocrinologia/Nutrição,Hospital Beatriz Ângelo,258.0
258,2016,259.0,Angiologia e Cirurgia Vascular,"Centro Hospitalar e Universitário de Coimbra, E.P.E.",259.0
259,2016,260.0,Otorrinolaringologia,"Centro Hospitalar de Lisboa Norte, E.P.E.",260.0
260,2016,261.0,Medicina Geral Familiar,Unidade de Saúde da Ilha de São Miguel - Centro de Saúde de Ribeira Grande - Sede,261.0
261,2016,262.0,Anestesiologia,"Centro Hospitalar do Porto, E.P.E.",262.0
262,2016,263.0,Medicina Geral Familiar,ACES Grande Porto V - Porto Ocidental - USF S. João do Porto,263.0
263,2016,264.0,Anestesiologia,"Centro Hospitalar Vila Nova de Gaia/Espinho, E.P.E.",264.0
264,2016,265.0,Radiologia,"Hospital Prof. Dr. Fernando Fonseca, E.P.E.",265.0
265,2016,266.0,Radiologia,Hospital Beatriz Ângelo,266.0
266,2016,267.0,Medicina Física Reabilitação,"Centro Hospitalar de São João, E.P.E.",267.0
267,2016,268.0,Neurorradiologia,"Centro Hospitalar de São João, E.P.E.",268.0
268,2016,269.0,Reumatologia,"Hospital Garcia de Orta, E.P.E.",269.0
269,2016,270.0,Medicina Geral Familiar,ACES Grande Porto V - Porto Ocidental - USF S. João do Porto,270.0
270,2016,271.0,Neurocirurgia,"Centro Hospitalar de Lisboa Norte, E.P.E.",271.0
271,2016,272.0,Ortopedia,"Centro Hospitalar Lisboa Central, E.P.E.",272.0
272,2016,273.0,Urologia,"Hospital Prof. Dr. Fernando Fonseca, E.P.E.",273.0
273,2016,274.0,Cirurgia Geral,"Centro Hospitalar do Alto Ave, E.P.E.",274.0
274,2016,275.0,Urologia,"Centro Hospitalar de Lisboa Norte, E.P.E.",275.0
275,2016,276.0,Radiologia,"Centro Hospitalar Lisboa Central, E.P.E.",276.0
276,2016,277.0,Cirurgia MaxiloFacial,"Centro Hospitalar do Porto, E.P.E.",277.0
277,2016,278.0,Ginecologia/Obstetricia,"Centro Hospitalar de Lisboa Ocidental, E.P.E.",278.0
278,2016,279.0,Anestesiologia,Hospital da Luz,279.0
279,2016,280.0,Gastroenterologia,Hospital Central do Funchal,280.0
280,2016,281.0,Endocrinologia/Nutrição,Hospital de Braga,281.0
281,2016,282.0,Neurocirurgia,"Centro Hospitalar do Porto, E.P.E.",282.0
282,2016,283.0,Ginecologia/Obstetricia,"Centro Hospitalar e Universitário de Coimbra, E.P.E.",283.0
283,2016,284.0,Endocrinologia/Nutrição,Hospital Forças Armadas - Polo Lisboa,284.0
284,2016,285.0,Neurologia,"Centro Hospitalar e Universitário de Coimbra, E.P.E.",285.0
285,2016,286.0,Endocrinologia/Nutrição,"Centro Hospitalar do Porto, E.P.E.",286.0
286,2016,287.0,Ortopedia,"Centro Hospitalar Vila Nova de Gaia/Espinho, E.P.E.",287.0
287,2016,288.0,Otorrinolaringologia,"Centro Hospitalar do Alto Ave, E.P.E.",288.0
288,2016,289.0,Nefrologia,"Centro Hospitalar Vila Nova de Gaia/Espinho, E.P.E.",289.0
289,2016,290.0,Endocrinologia/Nutrição,"Instituto Português Oncologia do Porto Francisco Gentil, E.P.E. ",290.0
290,2016,291.0,Otorrinolaringologia,"Hospital Garcia de Orta, E.P.E.",291.0
291,2016,292.0,Ginecologia/Obstetricia,"Centro Hospitalar do Baixo Vouga, E.P.E.",292.0
292,2016,293.0,Ginecologia/Obstetricia,"Centro Hospitalar de São João, E.P.E.",293.0
293,2016,294.0,Neurologia,"Centro Hospitalar de Trás-os-Montes e Alto Douro, E.P.E.",294.0
294,2016,295.0,Anestesiologia,"Centro Hospitalar de Lisboa Ocidental, E.P.E.",295.0
295,2016,296.0,Medicina Geral Familiar,ACES Alto Ave - Guimarães/Vizela/Terras de Basto - USF S. Nicolau,296.0
296,2016,297.0,Ginecologia/Obstetricia,Hospital de Braga,297.0
